	CTR19A_CD140a	CTR19B_CD140a	CTR19C_CD140a	CTR19F_CD140a	HD20C_CD140a	HD20D_CD140a	HD20E_CD140a	HD20F_CD140a	HD20G_CD140a
ENSG00000000003	64.83	38.54	39.65	46.17	42.01	36.12	52.15	58.77	36.74
ENSG00000000005	0.26	1.18	0	1.08	0.21	0	0.44	0.06	0.1
ENSG00000000419	57.76	48.29	50.19	41.97	43.84	52.19	59.57	49.6	56.4
ENSG00000000457	10.63	10.45	7.54	9.56	8.21	9.38	12.65	7.22	11.66
ENSG00000000460	13.09	17.84	13.54	14.13	11.53	13.55	18.49	11.55	15.09
ENSG00000000938	0	0.39	0	0.03	0	0.23	0	0	0.06
ENSG00000000971	0	1.33	0.41	1.88	0.38	0.33	0.81	0	0.06
ENSG00000001036	21.12	28.67	30.45	17.48	28.23	15.45	28.81	29.69	21.61
ENSG00000001084	25.65	16.02	16.78	22.98	9.05	7.49	11.91	10.68	12.68
ENSG00000001167	35.31	20.74	22.61	28.82	34.08	33.34	39.77	49.18	32.36
ENSG00000001460	3.97	4.65	3.95	4	5.79	1.48	2.83	1.78	2.28
ENSG00000001461	11.2	6.85	10.33	15.49	7.68	4.33	8.63	9.86	3.77
ENSG00000001497	45.22	59.9	47.38	55.44	53.41	66.94	49.16	20.9	55.51
ENSG00000001561	4.99	1.3	2.46	5.96	0.71	1	0.73	0.67	0.73
ENSG00000001617	2.12	6.42	2.44	1.55	4.23	3.68	4.76	2.51	3.23
ENSG00000001626	12.58	3.17	2.34	12.02	0	0	0	0.02	0.07
ENSG00000001629	61.74	34.97	41.26	60.99	41.34	43.66	58.93	47.9	49.63
ENSG00000001630	49.44	41.42	39.11	50.81	39.04	24.41	51.82	62.53	26.11
ENSG00000001631	34.07	30.77	31.16	32.33	27.02	30.65	37.48	21.37	39.83
ENSG00000002016	33.27	36.92	28.14	27.48	39.08	33.25	41.21	6.1	41.14
ENSG00000002079	0	0	0.08	0.02	0	0	0.06	0	0.01
ENSG00000002330	52.18	44.24	71.02	41.27	62.58	45.95	40.05	72.35	27.39
ENSG00000002549	42.16	27.15	33.64	36.44	29.03	25.13	38.63	32.65	24.18
ENSG00000002586	250.85	284.02	426.98	137.92	361.05	168.05	307.87	231.19	147.07
ENSG00000002587	0.35	0.33	0.37	0.59	0.24	0	0.04	0.53	0.01
ENSG00000002726	0.12	0	0	0	0	0	0	0	0
ENSG00000002745	0	0.13	0.12	0.1	0	0.19	0.06	0.8	0
ENSG00000002746	5.27	2.12	2.73	5.96	0.71	0.9	0.68	1.59	1.77
ENSG00000002822	22.54	21.74	23.77	21.23	34.45	22.63	24.66	24.08	14.03
ENSG00000002834	68.73	68.29	79.57	53.3	74.54	72.02	92.43	115.01	57.37
ENSG00000002919	23.3	17.29	18.37	17.86	24.32	22.43	23.29	22.17	20.2
ENSG00000002933	1.11	0.49	1	2.34	0.36	0.6	0.44	0.48	0.73
ENSG00000003056	120.99	98.46	103.64	108.81	109.57	114.95	124.84	88.29	122.14
ENSG00000003096	24.21	15.71	12.77	23.51	5.94	3.89	6.95	11.63	3.76
ENSG00000003137	0.28	1.13	0.48	0.6	0.1	0	0.31	0.39	0.33
ENSG00000003147	9.68	5.82	3.72	7.38	0.1	0.9	1.75	0.5	0.28
ENSG00000003249	26.47	21.96	26.36	26.46	40.61	40.12	30.84	48.98	25.77
ENSG00000003393	23.66	16.86	21.99	25.29	21.06	25.87	29.37	23.06	25.67
ENSG00000003400	0	0.4	0.03	0.05	0	0.04	0.59	0.02	0.35
ENSG00000003402	10.64	10.53	15.85	8.74	15.84	9.98	22.42	14.29	10.66
ENSG00000003436	17.81	7.41	14.63	16.68	13.66	6.7	26.79	22.07	7.41
ENSG00000003509	32.27	41.94	30.37	34.47	28.94	32.03	37.26	11.3	47
ENSG00000003756	353.09	371.4	300.62	333.5	405.96	480.09	427.65	77.58	510.32
